titulo,banco,descuento,vigencia,fuente
Banco Consorcio,Banco Consorcio,"$150, $100, $125","Lunes, Miércoles, Jueves, Martes, Domingo",https://www.petrobrasdistribucion.cl/promociones/descuento-con-medios-de-pago/
Descuento Ripley,Descuento Ripley,"$100, $125, $150","Miércoles, Jueves, Martes, Domingo",https://www.petrobrasdistribucion.cl/promociones/descuento-con-medios-de-pago/
Descuento La Polar Visa,Descuento La Polar Visa,"$150, $100","Jueves, Martes, Miércoles, Domingo",https://www.petrobrasdistribucion.cl/promociones/descuento-con-medios-de-pago/
Descuento ABC VISA,Descuento ABC VISA,"$150, $100","Martes, Miércoles, Domingo",https://www.petrobrasdistribucion.cl/promociones/descuento-con-medios-de-pago/
Sbpay,Sbpay,"$150, $100","Miércoles, Domingo",https://www.petrobrasdistribucion.cl/promociones/descuento-con-medios-de-pago/
Spin Visa,Spin Visa,"$150, $100",Domingo,https://www.petrobrasdistribucion.cl/promociones/descuento-con-medios-de-pago/
Descuento Hites,Descuento Hites,$100,Domingo,https://www.petrobrasdistribucion.cl/promociones/descuento-con-medios-de-pago/
Caja Los Andes,RUT/Convenio,"$15, $25","Lunes, Martes",https://www.petrobrasdistribucion.cl/promociones/descuento-con-tu-rut/
Descuento Municipalidades Combustible,RUT/Convenio,"$15, $25","Lunes, Martes",https://www.petrobrasdistribucion.cl/promociones/descuento-con-tu-rut/
AMUCH,RUT/Convenio,"$15, $25","Lunes, Martes",https://www.petrobrasdistribucion.cl/promociones/descuento-con-tu-rut/
Alianza PDI,RUT/Convenio,"$15, $25",,https://www.petrobrasdistribucion.cl/promociones/descuento-con-tu-rut/
Alianza Armada de Chile,RUT/Convenio,"$15, $25",,https://www.petrobrasdistribucion.cl/promociones/descuento-con-tu-rut/
Carabineros de Chile,RUT/Convenio,"$15, $25",,https://www.petrobrasdistribucion.cl/promociones/descuento-con-tu-rut/
Ejército,RUT/Convenio,"$15, $25",,https://www.petrobrasdistribucion.cl/promociones/descuento-con-tu-rut/
Alianza FACH,RUT/Convenio,"$15, $25",,https://www.petrobrasdistribucion.cl/promociones/descuento-con-tu-rut/
