titulo,banco,descuento,vigencia,fuente
Banco Consorcio,Banco Consorcio,$150,Lunes,https://www.petrobrasdistribucion.cl/promociones/descuento-con-medios-de-pago/
Descuento Ripley,Descuento Ripley,$125,Miércoles,https://www.petrobrasdistribucion.cl/promociones/descuento-con-medios-de-pago/
Descuento La Polar Visa,Descuento La Polar Visa,$150,Jueves,https://www.petrobrasdistribucion.cl/promociones/descuento-con-medios-de-pago/
Descuento ABC VISA,Descuento ABC VISA,$150,Martes,https://www.petrobrasdistribucion.cl/promociones/descuento-con-medios-de-pago/
Sbpay,Sbpay,$150,Miércoles,https://www.petrobrasdistribucion.cl/promociones/descuento-con-medios-de-pago/
Spin Visa,Spin Visa,,Domingo,https://www.petrobrasdistribucion.cl/promociones/descuento-con-medios-de-pago/
Descuento Hites,Descuento Hites,,Domingo,https://www.petrobrasdistribucion.cl/promociones/descuento-con-medios-de-pago/
Caja Los Andes,RUT/Convenio,"$15, $25, $15, $25, $15, $25, $15, $25, $15, $25",Lunes martes lunes martes,https://www.petrobrasdistribucion.cl/promociones/descuento-con-tu-rut/
Descuento Municipalidades Combustible,RUT/Convenio,"$15, $25, $15, $25, $15, $25, $15, $25, $15, $25",Lunes martes lunes martes,https://www.petrobrasdistribucion.cl/promociones/descuento-con-tu-rut/
AMUCH,RUT/Convenio,"$15, $25, $15, $25, $15, $25, $15, $25, $15, $25",Lunes martes,https://www.petrobrasdistribucion.cl/promociones/descuento-con-tu-rut/
Alianza PDI,RUT/Convenio,"$15, $25, $15, $25, $15, $25, $15, $25, $15, $25",,https://www.petrobrasdistribucion.cl/promociones/descuento-con-tu-rut/
Alianza Armada de Chile,RUT/Convenio,"$15, $25, $15, $25, $15, $25, $15, $25",,https://www.petrobrasdistribucion.cl/promociones/descuento-con-tu-rut/
Carabineros de Chile,RUT/Convenio,"$15, $25, $15, $25, $15, $25",,https://www.petrobrasdistribucion.cl/promociones/descuento-con-tu-rut/
Ejército,RUT/Convenio,"$15, $25, $15, $25",,https://www.petrobrasdistribucion.cl/promociones/descuento-con-tu-rut/
Alianza FACH,RUT/Convenio,"$15, $25",,https://www.petrobrasdistribucion.cl/promociones/descuento-con-tu-rut/
